train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.6093626,0.0104,4.6073065
0.00943157894736842,4.6068697,0.0092,4.606641
0.009747368421052631,4.6062107,0.0084,4.606348
0.009621052631578949,4.6059923,0.0076,4.6067414
0.009768421052631579,4.605872,0.0084,4.606871
0.00856842105263158,4.6058397,0.008,4.6074495
0.009600000000000001,4.605788,0.007200000000000001,4.6064553
0.00976842105263158,4.605732,0.0072,4.606504
0.009242105263157895,4.6058135,0.0076,4.606764
0.009199999999999998,4.6057177,0.007600000000000001,4.606494
0.009073684210526317,4.605699,0.007200000000000001,4.6067634
0.010042105263157894,4.6056795,0.007200000000000001,4.606878
0.010189473684210526,4.6056867,0.0072,4.60674
0.009705263157894738,4.6057444,0.0072,4.6070266
0.010357894736842106,4.605597,0.0064,4.607113
0.010189473684210526,4.605692,0.0064,4.6069055
0.009978947368421053,4.605639,0.006400000000000001,4.606821
0.009663157894736842,4.605609,0.0064,4.607051
0.008778947368421053,4.605726,0.008,4.6070256
0.010084210526315791,4.6056314,0.0072,4.6071653
0.008968421052631579,4.6057343,0.0076,4.606945
0.009473684210526316,4.6056876,0.0096,4.6069503
0.009600000000000001,4.605529,0.0084,4.606834
0.009157894736842104,4.6056376,0.0076,4.607097
0.009536842105263158,4.6056404,0.008400000000000001,4.6067314
0.00983157894736842,4.60559,0.0068,4.6069503
0.00873684210526316,4.6056705,0.009200000000000002,4.6063886
0.009536842105263158,4.605562,0.0092,4.606701
0.00928421052631579,4.6056156,0.0072,4.6068606
0.009199999999999998,4.605662,0.0072,4.606761
0.00936842105263158,4.605589,0.012,4.6070895
0.010168421052631578,4.605642,0.012000000000000002,4.606701
0.009621052631578949,4.605562,0.0072,4.6067324
0.00968421052631579,4.60558,0.007200000000000001,4.6067977
0.010147368421052632,4.605598,0.0072,4.6071463
0.009621052631578949,4.6055045,0.007200000000000001,4.607212
0.009410526315789473,4.605567,0.0072,4.6072383
0.009663157894736842,4.6055765,0.0072,4.6073318
0.009326315789473686,4.6055393,0.0072,4.607269
0.00983157894736842,4.6055875,0.0072,4.6072392
0.009410526315789475,4.6055584,0.0072,4.607235
0.009873684210526314,4.6055665,0.008,4.6071286
0.008926315789473685,4.6055818,0.008,4.6071606
0.009621052631578949,4.605504,0.0076,4.607359
0.009242105263157895,4.6055894,0.008,4.6071424
0.01,4.605514,0.006400000000000001,4.6069374
0.009957894736842107,4.605514,0.0064,4.607012
0.009578947368421051,4.6055717,0.0064,4.606849
0.00928421052631579,4.6054883,0.008,4.6070805
0.009178947368421054,4.6054974,0.008,4.606885
0.009073684210526317,4.605557,0.008400000000000001,4.60673
0.0104,4.60545,0.008,4.6069045
0.009410526315789475,4.6054835,0.0064,4.6067324
0.009473684210526316,4.6055202,0.01,4.6065845
0.009073684210526315,4.605495,0.009600000000000001,4.606615
0.009305263157894737,4.6055465,0.008,4.6063814
0.010105263157894739,4.605515,0.008,4.60692
0.009936842105263159,4.605445,0.0096,4.607223
0.010063157894736843,4.60553,0.0076,4.607416
0.010126315789473685,4.6054664,0.0076,4.6074204
0.009052631578947368,4.605481,0.0088,4.6072006
0.009873684210526316,4.6055026,0.007200000000000001,4.606951
0.009957894736842107,4.605524,0.0072,4.6071434
0.009705263157894736,4.6055036,0.007200000000000001,4.6069994
0.009747368421052633,4.6054754,0.0084,4.6070995
0.009747368421052631,4.605445,0.009600000000000001,4.606989
0.009326315789473684,4.6054993,0.0076,4.6070566
0.00951578947368421,4.6054525,0.0084,4.6070614
0.008884210526315791,4.6055017,0.0076,4.607015
0.00976842105263158,4.605498,0.006400000000000001,4.607037
0.009726315789473684,4.6054173,0.0084,4.6070933
0.009431578947368423,4.6054716,0.0072,4.6070538
0.009473684210526316,4.605443,0.0076,4.6071377
0.00985263157894737,4.605425,0.0076,4.607161
0.009557894736842105,4.605469,0.0088,4.6072025
0.009178947368421052,4.6054335,0.0076,4.6071796
0.00985263157894737,4.6054707,0.0076,4.6071978
0.009578947368421055,4.6054473,0.008400000000000001,4.6071014
0.01008421052631579,4.605451,0.008,4.6069417
0.009515789473684212,4.6054697,0.008,4.6070395
0.00968421052631579,4.605438,0.008,4.607156
0.009957894736842107,4.6054244,0.007200000000000001,4.6070642
0.009242105263157895,4.605474,0.0072,4.6068144
0.009473684210526316,4.605451,0.0072,4.6066604
0.009557894736842105,4.60546,0.0104,4.606894
0.00976842105263158,4.6054583,0.0104,4.6068406
0.009305263157894737,4.605404,0.009600000000000001,4.6069546
0.009452631578947369,4.6054544,0.0076,4.606973
0.009557894736842105,4.6054244,0.0092,4.6070385
0.009621052631578949,4.6054373,0.0068000000000000005,4.6070905
0.009452631578947369,4.60545,0.008400000000000001,4.6069627
0.009936842105263157,4.605422,0.009600000000000001,4.6069813
0.010147368421052632,4.6054535,0.007200000000000001,4.606948
0.010147368421052632,4.6054378,0.0072,4.606703
0.009621052631578949,4.6053877,0.0076,4.6065497
0.010189473684210526,4.60549,0.006400000000000001,4.606725
0.009368421052631578,4.605461,0.006400000000000001,4.6069255
0.009957894736842105,4.605447,0.0092,4.6068974
0.009747368421052631,4.6054673,0.0064,4.606869
0.009557894736842105,4.6054077,0.0064,4.6072273
